"CET's, years 1-4",,,,,,,,,,,
LC User Id,Module 1,Module 2,Module 3,Module 4,Module 1 alias,Module 2 alias,Module 3 alias,Module 4 alias,Term,Placed Subject,Placed Level
38464,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
2777,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2645,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2681,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
30797,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
4978,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Third,Elementary Education,Elementary School
5690,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Third,Elementary Education,Elementary School
2684,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2802,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
38578,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
41131,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
5387,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Third,Elementary Education,Elementary School
2804,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
5541,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Third,Elementary Education,Elementary School
2703,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
3680,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
27761,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
2812,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2637,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2709,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2803,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2686,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2607,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2732,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2688,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2749,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
30655,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
5123,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Third,Elementary Education,Elementary School
4271,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Third,Elementary Education,Elementary School
39281,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
2668,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2786,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2771,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
2764,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
29773,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
2754,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Fourth,Elementary Education,Elementary School
29035,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
34967,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
41883,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
29198,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
37531,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
41887,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
49849,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
29980,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Second,Elementary Education,Elementary School
37825,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
39678,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
36930,43677,43265,43181,43137,cet-core-k-5-year-1-module-1-training,cet-core-k-5-year-1-module-2,cet-core-k-5-year-1-module-3,cet-core-k-5-year-1-module-4,Initial,Elementary Education,Elementary School
